time,farm,x,y,cell_i,cell_j
96.00,1,-12.189,-11.459,9,11
96.00,1,-12.185,-11.498,9,11
96.00,1,-12.170,-11.529,9,10
96.00,1,-12.165,-11.565,9,10
96.00,1,-12.053,-11.472,9,11
96.00,1,-12.173,-11.645,9,10
96.00,1,-12.021,-11.747,9,10
96.00,1,-12.099,-11.920,9,10
96.03,1,-12.062,-11.486,9,11
96.03,1,-12.124,-11.657,9,10
96.03,1,-12.031,-11.692,9,10
96.03,1,-12.086,-11.775,9,10
96.03,1,-11.939,-11.759,10,10
96.03,1,-11.892,-11.787,10,10
96.06,1,-12.062,-11.471,9,11
96.06,1,-12.035,-11.739,9,10
96.06,1,-12.043,-11.868,9,10
96.06,1,-12.066,-11.920,9,10
96.10,1,-12.052,-11.621,9,10
96.10,1,-12.004,-11.910,9,10
96.13,1,-12.048,-11.612,9,10
96.16,1,-12.048,-11.673,9,10
96.19,1,-12.010,-11.595,9,10
96.19,1,-12.045,-11.744,9,10
97.02,1,-12.164,-11.829,9,10
97.06,1,-12.214,-11.715,9,10
97.09,1,-12.210,-11.639,9,10
97.09,1,-12.174,-11.883,9,10
97.12,1,-12.108,-11.656,9,10
97.12,1,-12.039,-11.863,9,10
97.12,1,-12.186,-12.065,9,9
97.15,1,-12.312,-12.015,9,9
97.15,1,-12.205,-12.097,9,9
97.18,1,-12.122,-11.789,9,10
97.18,1,-12.149,-12.001,9,9
97.18,1,-12.106,-12.056,9,9
97.18,1,-12.222,-12.130,9,9
98.02,1,-12.334,-11.967,9,10
98.02,1,-12.554,-12.090,8,9
98.02,1,-12.344,-12.314,9,9
98.02,1,-12.438,-12.284,9,9
98.05,1,-12.427,-12.206,9,9
98.05,1,-12.491,-12.192,9,9
98.08,1,-12.447,-12.155,9,9
98.11,1,-12.563,-11.969,8,10
98.11,1,-12.553,-12.021,8,9
98.14,1,-12.391,-11.996,9,10
98.18,1,-12.504,-12.403,8,9
99.04,1,-12.684,-12.608,8,8
99.07,1,-12.682,-12.475,8,9
99.07,1,-12.820,-12.876,8,8
99.10,1,-12.600,-12.382,8,9
99.14,1,-12.714,-12.691,8,8
99.17,1,-12.623,-12.409,8,9
99.17,1,-12.819,-12.838,8,8
100.00,1,-12.934,-13.082,8,7
100.03,1,-12.971,-12.920,8,8
100.06,1,-12.955,-13.133,8,7
100.10,1,-12.980,-13.185,8,7
100.19,1,-12.991,-13.137,8,7
320.03,1,-12.845,-13.301,8,7
320.06,1,-12.882,-13.025,8,7
320.06,1,-12.818,-13.296,8,7
320.10,1,-12.848,-13.103,8,7
320.10,1,-12.790,-13.328,8,7
320.13,1,-12.790,-13.312,8,7
320.16,1,-12.830,-13.048,8,7
320.19,1,-12.772,-13.264,8,7
361.02,1,-11.755,-11.148,10,11
361.06,1,-11.728,-11.106,10,11
361.09,1,-11.731,-11.113,10,11
361.12,1,-11.535,-11.046,10,11
361.15,1,-11.648,-11.075,10,11
361.18,1,-11.540,-11.075,10,11
362.02,1,-11.732,-11.217,10,11
362.02,1,-11.698,-11.431,10,11
362.05,1,-11.777,-11.228,10,11
362.05,1,-11.723,-11.434,10,11
362.11,1,-11.704,-11.173,10,11
362.11,1,-11.669,-11.423,10,11
362.11,1,-11.726,-11.605,10,10
362.14,1,-11.783,-11.182,10,11
362.14,1,-11.739,-11.434,10,11
362.14,1,-11.744,-11.629,10,10
362.18,1,-11.812,-11.167,10,11
362.18,1,-11.745,-11.434,10,11
362.18,1,-11.716,-11.631,10,10
363.01,1,-12.012,-11.567,9,10
363.01,1,-11.741,-11.756,10,10
363.01,1,-11.803,-11.806,10,10
363.04,1,-11.773,-11.475,10,11
363.04,1,-12.017,-11.549,9,10
363.04,1,-11.915,-11.831,10,10
363.07,1,-12.020,-11.555,9,10
363.07,1,-11.915,-11.838,10,10
363.10,1,-12.024,-11.563,9,10
363.10,1,-11.661,-11.908,10,10
363.10,1,-11.929,-11.846,10,10
363.14,1,-11.768,-11.489,10,11
363.14,1,-11.935,-11.528,10,10
363.14,1,-11.792,-11.596,10,10
363.14,1,-11.876,-11.844,10,10
363.17,1,-11.986,-11.561,10,10
363.17,1,-11.880,-11.851,10,10
364.00,1,-12.005,-12.183,9,9
364.00,1,-11.914,-12.054,10,9
364.00,1,-11.840,-12.364,10,9
364.03,1,-11.955,-11.979,10,10
364.03,1,-11.865,-12.264,10,9
364.06,1,-11.953,-11.986,10,10
364.06,1,-11.863,-12.311,10,9
364.10,1,-11.948,-12.002,10,9
364.10,1,-11.875,-12.290,10,9
364.13,1,-11.954,-12.013,10,9
364.13,1,-12.043,-12.185,9,9
364.13,1,-11.862,-12.349,10,9
364.16,1,-11.965,-12.007,10,9
364.16,1,-12.047,-12.185,9,9
364.16,1,-11.893,-12.254,10,9
364.19,1,-12.038,-12.186,9,9
364.19,1,-11.912,-12.205,10,9
365.02,1,-11.925,-12.617,10,8
365.06,1,-11.932,-12.419,10,9
365.09,1,-11.865,-12.579,10,8
365.12,1,-11.913,-12.483,10,9
365.15,1,-11.882,-12.576,10,8
365.15,1,-12.074,-12.634,9,8
365.18,1,-11.917,-12.376,10,9
365.18,1,-12.130,-12.675,9,8
