Total unique pests detected: 12
Farm 1 | t=96.0s | x=-12.189 y=-11.459 | cell=(9,11)
Farm 1 | t=96.0s | x=-12.17 y=-11.529 | cell=(9,10)
Farm 1 | t=96.03s | x=-11.939 y=-11.759 | cell=(10,10)
Farm 1 | t=97.12s | x=-12.186 y=-12.065 | cell=(9,9)
Farm 1 | t=98.02s | x=-12.554 y=-12.09 | cell=(8,9)
Farm 1 | t=98.11s | x=-12.563 y=-11.969 | cell=(8,10)
Farm 1 | t=99.04s | x=-12.684 y=-12.608 | cell=(8,8)
Farm 1 | t=100.0s | x=-12.934 y=-13.082 | cell=(8,7)
Farm 1 | t=361.02s | x=-11.755 y=-11.148 | cell=(10,11)
Farm 1 | t=364.0s | x=-11.914 y=-12.054 | cell=(10,9)
Farm 1 | t=365.02s | x=-11.925 y=-12.617 | cell=(10,8)
Farm 1 | t=365.15s | x=-12.074 y=-12.634 | cell=(9,8)
