time,farm,x,y,cell_i,cell_j
129.02,1,-13.163,-11.909,7,10
129.06,1,-13.102,-11.859,7,10
129.09,1,-13.131,-11.869,7,10
129.12,1,-12.894,-11.782,8,10
129.12,1,-13.032,-11.854,7,10
129.15,1,-13.127,-11.867,7,10
129.18,1,-13.020,-11.858,7,10
129.18,1,-13.105,-11.864,7,10
130.02,1,-13.027,-11.764,7,10
130.05,1,-12.950,-11.624,8,10
130.05,1,-12.909,-11.681,8,10
130.05,1,-12.864,-11.849,8,10
130.08,1,-12.927,-11.661,8,10
130.08,1,-13.104,-11.981,7,10
130.08,1,-13.052,-12.034,7,9
130.11,1,-12.929,-11.624,8,10
130.14,1,-13.043,-11.670,7,10
130.14,1,-13.097,-11.679,7,10
130.18,1,-12.885,-11.737,8,10
131.01,1,-13.035,-12.098,7,9
131.04,1,-12.978,-12.145,8,9
131.04,1,-12.975,-12.010,8,9
131.07,1,-12.901,-11.723,8,10
131.07,1,-12.936,-11.730,8,10
131.07,1,-12.969,-11.738,8,10
131.07,1,-12.886,-11.878,8,10
131.07,1,-12.913,-11.941,8,10
131.07,1,-12.950,-11.949,8,10
131.07,1,-12.991,-11.886,8,10
131.07,1,-13.023,-11.942,7,10
131.07,1,-13.104,-11.959,7,10
131.10,1,-12.916,-11.725,8,10
131.10,1,-13.168,-11.847,7,10
131.10,1,-12.907,-11.874,8,10
131.10,1,-13.004,-11.889,7,10
131.10,1,-12.891,-12.134,8,9
131.10,1,-13.050,-11.957,7,10
131.10,1,-13.104,-11.975,7,10
131.14,1,-12.895,-11.773,8,10
131.14,1,-12.985,-11.974,8,10
131.17,1,-12.808,-12.113,8,9
131.17,1,-12.851,-12.125,8,9
131.17,1,-13.003,-11.951,7,10
131.17,1,-13.088,-12.136,7,9
132.03,1,-12.998,-12.150,8,9
132.06,1,-12.922,-11.946,8,10
132.06,1,-12.911,-12.198,8,9
132.10,1,-12.914,-11.951,8,10
132.10,1,-13.126,-12.015,7,9
132.10,1,-12.900,-12.195,8,9
132.13,1,-12.927,-11.954,8,10
132.13,1,-13.095,-11.988,7,10
132.13,1,-12.912,-12.202,8,9
132.13,1,-13.073,-12.227,7,9
132.16,1,-13.002,-12.158,7,9
132.19,1,-12.932,-11.960,8,10
132.19,1,-13.106,-11.998,7,10
132.19,1,-12.988,-12.222,8,9
133.02,1,-13.032,-12.351,7,9
133.06,1,-13.039,-12.365,7,9
133.09,1,-12.920,-12.486,8,9
133.12,1,-13.030,-12.362,7,9
133.12,1,-12.989,-12.587,8,8
133.12,1,-13.111,-12.608,7,8
133.15,1,-13.010,-12.363,7,9
133.15,1,-12.946,-12.581,8,8
133.18,1,-12.991,-12.196,8,9
133.18,1,-13.115,-12.392,7,9
133.18,1,-13.063,-12.608,7,8
134.08,1,-13.082,-12.476,7,9
134.08,1,-13.011,-12.594,7,8
134.11,1,-13.134,-12.485,7,9
134.11,1,-13.091,-12.695,7,8
134.14,1,-13.075,-12.707,7,8
135.01,1,-13.227,-12.712,7,8
135.01,1,-13.205,-12.774,7,8
135.01,1,-13.146,-12.821,7,8
135.01,1,-13.300,-12.842,7,8
135.04,1,-13.205,-12.849,7,8
135.07,1,-13.216,-12.790,7,8
135.10,1,-13.217,-12.836,7,8
135.14,1,-13.223,-12.859,7,8
135.17,1,-13.145,-12.804,7,8
135.17,1,-13.265,-13.000,7,8
136.00,1,-13.440,-12.954,7,8
136.06,1,-13.297,-13.054,7,7
136.13,1,-13.390,-13.073,7,7
136.16,1,-13.288,-13.012,7,7
136.16,1,-13.305,-13.075,7,7
136.16,1,-13.324,-13.102,7,7
136.16,1,-13.358,-13.106,7,7
136.16,1,-13.392,-13.110,7,7
136.16,1,-13.419,-13.124,7,7
136.19,1,-13.298,-12.944,7,8
136.19,1,-13.325,-12.955,7,8
136.19,1,-13.230,-13.024,7,7
136.19,1,-13.260,-13.092,7,7
136.19,1,-13.321,-13.027,7,7
136.19,1,-13.353,-13.030,7,7
136.19,1,-13.409,-13.040,7,7
137.02,1,-13.439,-13.090,7,7
137.02,1,-13.364,-13.107,7,7
137.06,1,-13.349,-13.146,7,7
137.06,1,-13.403,-13.116,7,7
137.06,1,-13.504,-13.135,6,7
137.12,1,-13.405,-13.132,7,7
137.15,1,-13.462,-13.131,7,7
396.00,1,-13.177,-13.182,7,7
396.03,1,-13.237,-13.275,7,7
396.06,1,-13.177,-13.142,7,7
396.10,1,-13.218,-13.311,7,7
396.13,1,-13.150,-13.257,7,7
396.13,1,-13.110,-13.071,7,7
396.16,1,-13.239,-13.193,7,7
396.16,1,-13.107,-13.186,7,7
396.16,1,-13.167,-13.196,7,7
396.16,1,-13.111,-13.050,7,7
396.19,1,-13.164,-13.086,7,7
397.02,1,-13.116,-12.459,7,9
397.06,1,-13.272,-12.233,7,9
397.06,1,-12.945,-12.488,8,9
397.06,1,-13.114,-12.338,7,9
397.09,1,-13.158,-12.571,7,8
397.15,1,-13.120,-12.237,7,9
397.15,1,-13.040,-12.318,7,9
397.18,1,-12.986,-12.249,8,9
397.18,1,-13.123,-12.128,7,9
455.07,1,-12.327,-11.020,9,11
456.00,1,-12.473,-11.007,9,11
456.00,1,-12.333,-11.005,9,11
456.03,1,-12.277,-10.975,9,12
456.03,1,-12.317,-11.093,9,11
456.03,1,-12.334,-11.224,9,11
456.06,1,-12.432,-11.106,9,11
456.06,1,-12.368,-11.213,9,11
456.13,1,-12.244,-11.083,9,11
456.16,1,-12.244,-10.948,9,12
456.16,1,-12.312,-11.132,9,11
456.19,1,-12.281,-11.164,9,11
457.02,1,-12.219,-11.403,9,11
457.02,1,-12.380,-11.376,9,11
457.06,1,-12.341,-11.310,9,11
457.06,1,-12.385,-11.562,9,10
457.09,1,-12.372,-11.253,9,11
457.12,1,-12.327,-11.051,9,11
457.15,1,-12.357,-11.270,9,11
457.18,1,-12.338,-11.067,9,11
457.18,1,-12.406,-11.333,9,11
458.02,1,-12.249,-11.592,9,10
458.05,1,-12.573,-11.431,8,11
458.08,1,-12.442,-11.356,9,11
458.11,1,-12.369,-11.273,9,11
458.11,1,-12.255,-11.602,9,10
458.11,1,-12.402,-11.746,9,10
458.14,1,-12.443,-11.503,9,10
458.18,1,-12.523,-11.440,8,11
458.18,1,-12.504,-11.588,8,10
458.18,1,-12.263,-11.605,9,10
459.01,1,-12.554,-11.665,8,10
459.01,1,-12.589,-11.763,8,10
459.01,1,-12.355,-11.682,9,10
459.04,1,-12.510,-11.660,8,10
459.04,1,-12.433,-11.693,9,10
459.04,1,-12.469,-11.754,9,10
459.07,1,-12.432,-11.747,9,10
459.10,1,-12.462,-11.690,9,10
459.10,1,-12.380,-11.681,9,10
459.10,1,-12.490,-11.794,9,10
459.14,1,-12.532,-11.714,8,10
459.14,1,-12.385,-11.685,9,10
459.14,1,-12.571,-11.880,8,10
459.17,1,-12.438,-11.716,9,10
459.17,1,-12.445,-11.874,9,10
460.03,1,-12.512,-11.932,8,10
460.06,1,-12.528,-11.931,8,10
460.06,1,-12.425,-12.121,9,9
460.10,1,-12.472,-11.771,9,10
460.10,1,-12.471,-12.031,9,9
460.13,1,-12.465,-11.779,9,10
460.13,1,-12.532,-11.985,8,10
460.16,1,-12.469,-11.782,9,10
460.19,1,-12.478,-11.791,9,10
460.19,1,-12.400,-11.976,9,10
461.02,1,-12.508,-12.023,8,9
461.02,1,-12.608,-12.204,8,9
461.06,1,-12.591,-12.039,8,9
461.06,1,-12.654,-12.163,8,9
461.09,1,-12.564,-12.217,8,9
461.12,1,-12.556,-12.188,8,9
461.15,1,-12.565,-12.152,8,9
461.15,1,-12.649,-12.233,8,9
461.18,1,-12.702,-12.208,8,9
462.02,1,-12.753,-12.419,8,9
462.02,1,-12.643,-12.484,8,9
462.08,1,-12.641,-12.296,8,9
462.14,1,-12.658,-12.513,8,8
463.07,1,-12.705,-12.437,8,9
463.07,1,-12.619,-12.520,8,8
463.10,1,-12.717,-12.510,8,8
463.14,1,-12.687,-12.461,8,9
463.14,1,-12.804,-12.575,8,8
463.17,1,-12.634,-12.513,8,8
