Total unique pests detected: 13
Farm 1 | t=129.02s | x=-13.163 y=-11.909 | cell=(7,10)
Farm 1 | t=129.12s | x=-12.894 y=-11.782 | cell=(8,10)
Farm 1 | t=130.08s | x=-13.052 y=-12.034 | cell=(7,9)
Farm 1 | t=131.04s | x=-12.978 y=-12.145 | cell=(8,9)
Farm 1 | t=133.12s | x=-12.989 y=-12.587 | cell=(8,8)
Farm 1 | t=133.12s | x=-13.111 y=-12.608 | cell=(7,8)
Farm 1 | t=136.06s | x=-13.297 y=-13.054 | cell=(7,7)
Farm 1 | t=137.06s | x=-13.504 y=-13.135 | cell=(6,7)
Farm 1 | t=455.07s | x=-12.327 y=-11.02 | cell=(9,11)
Farm 1 | t=456.03s | x=-12.277 y=-10.975 | cell=(9,12)
Farm 1 | t=457.06s | x=-12.385 y=-11.562 | cell=(9,10)
Farm 1 | t=458.05s | x=-12.573 y=-11.431 | cell=(8,11)
Farm 1 | t=460.06s | x=-12.425 y=-12.121 | cell=(9,9)
